Model,Scaler,Params,MAPE,RMSE,R2 Score,Execution Date
ARIMAModel,NoneType,"(3, 0, 1)",0.34845785409519836,3.8888513102870084,0.05291390820479025,15-02-2025
ARIMAModel,NoneType,"(2, 1, 1)",0.3346591645241512,4.016272694176535,-0.07347751989967288,15-02-2025
ARIMAModel,NoneType,"(2, 1, 1)",0.3345714270982244,4.017705800712146,-0.0742882774665512,15-02-2025
SARIMAModel,NoneType,"(3, 0, 1)",0.34883260123297805,3.8889813881607855,0.053868284161191715,15-02-2025
SARIMAModel,NoneType,"(2, 1, 1)",0.3345714270982244,4.017705800712146,-0.0742882774665512,15-02-2025
SARIMAModel,NoneType,"(2, 1, 1)",0.3345714270982244,4.017705800712146,-0.0742882774665512,15-02-2025
THETAModel,NoneType,Unknown,0.23843092903055552,5.002897952217853,0.40441679489032123,15-02-2025
THETAModel,MinMaxScaler,Unknown,0.23843092903410215,5.002897952162901,0.40441679492695226,15-02-2025
THETAModel,StandardScaler,Unknown,0.23843092903540605,5.0028979521427,0.40441679494041893,15-02-2025
ARIMAModel,MinMaxScaler,"(0, 1, 3)",0.3351521841624952,4.009912235595641,-0.07001906586936624,15-02-2025
ARIMAModel,MinMaxScaler,"(2, 0, 4)",0.34750691366480796,3.8900172969728892,0.05028837282591192,15-02-2025
